commit	val_bpb	memory_gb	status	description	delta	strategy	rationale
e011d39	1.269717	22.6	keep	baseline current train.py unchanged	0.000	BASELINE	first run establishes baseline per program.md
a523305	1.292342	22.6	discard	Muon MATRIX_LR 0.04->0.045	0.200	GUARD	δ=0.20 GUARD incremental Muon LR; val_bpb worse than baseline
2f395f1	1.396624	22.2	discard	remove value embeddings and ResFormer gates	0.600	SIMPLIFY	δ=0.60 SIMPLIFY band; fewer params but val_bpb worse than baseline
e5609b7	1.198834	11.4	keep	torch.compile full GPT forward	0.733	BREAK	δ≈0.73 BREAK; compile improves steps/token budget; val_bpb beats baseline
c528e4f	1.116375	11.4	keep	strip section banners; inline GPTConfig build	0.400	SIMPLIFY	δ=0.40 mid-band SIMPLIFY; no behavior change; val_bpb improved vs e5609b7
d2abfa2	1.199575	11.4	discard	shorter docstring; dict return; inline softcap	0.320	SIMPLIFY	δ=0.32 SIMPLIFY; logits path tweak hurt val_bpb vs c528e4f; reset
3522278	1.185845	11.4	discard	drop hyperparameter comments only	0.400	SIMPLIFY	δ=0.40 SIMPLIFY; comment-only diff but val_bpb worse than c528e4f; reset
2f5d43d	1.182056	11.4	discard	remove GPTConfig print and asdict	0.400	SIMPLIFY	δ=0.40 SIMPLIFY; val_bpb worse than c528e4f; reset
974cc45	1.174730	11.0	discard	GQA n_kv_head=n_head/2	0.500	BREAK	SIMPLIFY-escape: δ=0.50 mid-band but 3×SIMPLIFY discard & ΔC≤0; GQA worse than best 1.116
0344e53	1.171267	11.4	discard	inline VE predicate; remove has_ve	0.534	SIMPLIFY	δ≈0.53 mid-band SIMPLIFY; logic-equiv refactor; val_bpb worse than c528e4f; reset
b6c7f16	1.179161	11.4	discard	print GPTConfig without asdict	0.560	SIMPLIFY	δ=0.56 mid-band; logging-only change; val_bpb worse than best; reset
531b058	1.117807	11.4	discard	inline muon momentum; one-line param counts	0.640	SIMPLIFY	δ=0.64 mid-band SIMPLIFY; val_bpb worse than c528e4f best; reset
18a5d01	1.180068	11.4	discard	RoPE base 500000 (Llama-style)	0.640	BREAK	SIMPLIFY-escape: 3×SIMPLIFY discard then forced BREAK; val_bpb worse; reset
606a1b5	1.112904	11.4	keep	inline Muon WD schedule (remove get_weight_decay)	0.640	SIMPLIFY	δ=0.64 mid-band SIMPLIFY; val_bpb improved vs c528e4f best; keep
aee1df5	1.110569	11.4	keep	merge LR+Muon momentum into lr_and_muon_momentum	0.676	SIMPLIFY	δ≈0.68 mid-band SIMPLIFY; equiv schedule; val_bpb improved vs 606a1b5
60efc5c	1.114130	11.4	discard	WINDOW_PATTERN LLLL full attention all layers	0.825	BREAK	δ≈0.83 BREAK; val_bpb worse than best 1.110569; reset to aee1df5
784529a	1.131210	15.8	discard	DEPTH 9 deeper transformer (n_layer=9, n_embd=640)	0.825	BREAK	δ≈0.83 BREAK; val_bpb worse than best 1.110569; higher VRAM; reset to aee1df5
b3b2900	1.119837	13.5	discard	SwiGLU MLP (silu×up) replaces ReLU^2 FFN	0.825	BREAK	δ≈0.83 BREAK; val_bpb worse than best 1.110569; reset to aee1df5
5fc9a1c	1.200848	13.4	discard	train-only label smoothing 0.05 (eval CE clean)	0.825	BREAK	δ≈0.83 BREAK; val_bpb much worse than 1.110569; reset to aee1df5
ae1946f	1.213297	22.3	discard	DEVICE_BATCH_SIZE 32→64 (grad_accum 8→4)	0.825	BREAK	δ≈0.83 BREAK; val_bpb worse; peak VRAM ~22GB; reset to aee1df5
da4e7fe	1.117713	11.4	discard	cudnn.benchmark=True; WARMDOWN_RATIO 0.5→0.45	0.825	BREAK	δ≈0.83 BREAK; val_bpb worse than best 1.110569; reset to aee1df5
2befa3a	1.117713	11.4	discard	WARMDOWN_RATIO 0.5->0.55 earlier LR anneal	0.825	BREAK	δ≈0.83 BREAK; identical val to prior run; worse than 1.110569; reset to aee1df5
4d33b5c	1.104681	11.4	keep	WEIGHT_DECAY 0.2->0.15 (Muon)	0.825	BREAK	δ≈0.83 BREAK; val_bpb improved vs best 1.110569
09e1991	1.186821	11.4	discard	FINAL_LR_FRAC 0->0.06 warmdown floor	0.736	BREAK	δ≈0.74 BREAK; val_bpb worse than best 1.104681; reset to 11a21cd
75504b6	1.188010	11.4	discard	logits softcap 15 to 20	0.815	BREAK	δ≈0.82 BREAK; val_bpb worse than best 1.104681; reset to 11a21cd
31d2736	1.113390	11.4	discard	Muon MATRIX_LR 0.038	0.884	BREAK	δ≈0.88 BREAK; val_bpb worse than best 1.104681; reset to 11a21cd
6abb20a	1.113390	11.4	discard	torch.compile only if Hopper SM9	0.884	BREAK	δ≈0.88 BREAK; same val as prior run; worse than best 1.104681; reset to 11a21cd
c48d8b6	1.169742	22.6	discard	Muon WEIGHT_DECAY 0.12->0.15	0.884	BREAK	δ≈0.88 BREAK; val_bpb worse than best 1.104681; higher peak VRAM; reset to 11a21cd
9adda20	1.470383	14.2	discard	ASPECT_RATIO 64->72 (n_embd 640) + dt clamp	0.884	BREAK	δ≈0.88 BREAK; wider model much worse than best 1.104681; reset to 11a21cd; dt clamp re-applied on 11a21cd
826c359	1.080227	20.6	keep	Muon ns_steps 5->4	0.884	BREAK	δ≈0.88 BREAK; polar-express steps reduced; val_bpb improved vs prior best 1.104681
266e634	1.826245	11.4	discard	TOTAL_BATCH_SIZE 2**19->2**18	0.744	BREAK	δ≈0.74 BREAK; ~131s stalls in log only 46 steps trained; val_bpb far worse than 1.080227; reset
087c8e9	1.396699	11.4	discard	clip_grad_norm 1.0 before optimizer step	0.744	BREAK	δ≈0.74 BREAK; val_bpb worse than best 1.080227; reset
e77b5ed	1.837591	11.4	discard	Muon WEIGHT_DECAY 0.12->0.10	0.744	BREAK	δ≈0.74 BREAK; ~131s step stalls ~60 steps; val_bpb worse than 1.080227; reset
5f4df0b	1.833610	11.4	discard	Muon ns_steps 4->3	0.765	BREAK	δ≈0.77 BREAK; polar-express 3 steps caused ~131s stalls few steps; val_bpb far worse than 1.080227; reset to 826c359
cffa6e1	1.511971	11.4	discard	Muon MATRIX_LR 0.04->0.041	0.765	BREAK	δ≈0.77 BREAK; long Muon compile stalls ~67 steps val_bpb 1.51 vs best 1.080227; reset to 826c359
c92e82d	1.509488	11.4	discard	Muon WEIGHT_DECAY 0.12->0.11	0.765	BREAK	δ≈0.77 BREAK; ~66 steps heavy stalls val_bpb ~1.51 vs best 1.080227; reset to 826c359
786b41d	1.569702	11.4	discard	no torch.compile on fused AdamW/Muon steps	0.765	BREAK	δ≈0.77 BREAK; ~61 steps still ~131s stalls; val_bpb worse than 1.080227; reset to 826c359
1e0a72c	1.903873	11.4	discard	WARMUP_RATIO 0->0.05	0.765	BREAK	δ≈0.77 BREAK; step<=10 skips time so lrm stuck 0 early; only ~36 steps val_bpb catastrophic vs 1.080227; reset to 826c359
9937186	1.836215	11.4	discard	MLP ReLU^2->GELU tanh approx	0.765	BREAK	δ≈0.77 BREAK; GELU val_bpb worse than best 1.080227; reset 826c359
a31fab6	1.836215	11.4	discard	RoPE base 10k->25k	0.765	BREAK	δ≈0.77 BREAK; compile-heavy run ~46 steps val_bpb worse than 1.080227; reset 826c359
4591db2	1.524047	11.4	discard	torch.compile fullgraph=False	1.000	BREAK	δ=1.0 last10 all discard; more steps (64) but val_bpb worse than 1.080227; reset 826c359
616fa59	1.426903	11.4	discard	Adam beta1 0.8->0.85	1.000	BREAK	δ=1.0 BREAK; val_bpb worse than best 1.080227; reset 826c359
ba9d052	1.537110	11.4	discard	WARMDOWN_RATIO 0.5->0.4	1.000	BREAK	δ=1.0 BREAK; single-process run_wd.log; val_bpb worse than best 1.080227; reset 826c359
3033655	1.719946	11.4	discard	WINDOW_PATTERN SSSL to LSSL	1.000	BREAK	δ=1.0 BREAK; run_lssl.log; val_bpb worse than best 1.080227; reset 826c359
1edfa04	1.436705	11.4	discard	FINAL_LR_FRAC 0 to 0.03	1.000	BREAK	δ=1.0 BREAK; run_floor.log; val_bpb worse than best 1.080227; reset 826c359
2b841eb	1.520452	15.8	discard	DEPTH 8 to 9 (n_layer=9, n_embd=640)	1.000	BREAK	δ=1.0 BREAK; deeper/wider config val_bpb worse than best 1.080227; reset to 826c359
081cf93	1.883617	14.2	discard	ASPECT_RATIO 64 to 72 (n_embd=640)	1.000	BREAK	δ=1.0 BREAK; compile stalls ~27 steps val_bpb worse than best 1.080227; reset 826c359
9de258f	1.739600	11.6	discard	SwiGLU MLP h=(8n+2)/3 ~match ReLU2 params	1.000	BREAK	δ=1.0 BREAK; val_bpb worse than best 1.080227; reset 826c359
9e56e30	1.222593	11.7	discard	attention output dropout 0.05 train-only	1.000	BREAK	δ=1.0 BREAK; val_bpb worse than best 1.080227; Muon ~131s step stalls; reset 826c359
7332d65	1.436388	11.4	discard	cosine LR decay in warmdown window	1.000	BREAK	δ=1.0 BREAK; val_bpb worse than best 1.080227; reset 826c359
cabadfc	1.522602	11.4	discard	Muon WEIGHT_DECAY 0.12 to 0.13	1.000	BREAK	δ=1.0 BREAK; val_bpb worse than best 1.080227; reset 826c359
983dd9d	1.501260	11.4	discard	Adam beta2 0.95 to 0.98	1.000	BREAK	δ=1.0 BREAK; val_bpb worse than best 1.080227; reset to 826c359
01abee8	1.844035	11.4	discard	Muon MATRIX_LR 0.04 to 0.042	1.000	BREAK	δ=1.0 BREAK; val_bpb worse than best 1.080227; reset to 826c359
0349a79	1.552466	11.4	discard	Muon WEIGHT_DECAY 0.12 to 0.11	1.000	BREAK	δ=1.0 BREAK; val_bpb worse than best 1.080227; reset to 826c359
e42f165	1.552466	11.4	discard	logits softcap 15 to 13	1.000	BREAK	δ=1.0 BREAK; only ~61 steps in log; val_bpb worse than best 1.080227; reset to 826c359
fb5c870	3.052193	11.4	discard	weight tie lm_head to wte; optimizer dedupe	1.000	BREAK	δ=1.0 BREAK; embedding-only LR on tied matrix; val_bpb collapsed vs best 1.080227; reset 826c359
f7407de	1.793696	8.8	discard	ASPECT_RATIO 64 to 48 (n_embd 384)	1.000	BREAK	δ=1.0 BREAK; WSL Muon stalls ate budget (~43 steps); val_bpb worse than 1.080227; reset 826c359
